t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,traction,x,y,z,yaw_deg,source
2.9800,0.00000,1.0000,0.0000,4.10931,4.10932,4.73082,264.9,1.0000,0.5047,0.0000,0.4742,7.7862,0.000,unity
3.0000,0.00000,1.0000,0.0000,4.18686,4.18688,4.02500,525.0,1.0000,1.0000,0.0000,0.4742,7.8701,0.000,unity
3.0200,0.00000,1.0000,0.0000,4.25153,4.25155,5.05169,139.9,1.0000,0.2665,0.0000,0.4742,7.9553,0.000,unity
3.0400,0.00000,1.0000,0.0000,4.31086,4.31088,4.08665,525.0,1.0000,1.0000,0.0000,0.4742,8.0416,0.000,unity
3.0600,0.00000,1.0000,0.0000,4.37465,4.37468,5.08332,203.9,1.0000,0.3885,0.0000,0.4742,8.1293,0.000,unity
3.0800,0.00000,1.0000,0.0000,4.43915,4.43918,4.36633,525.0,1.0000,1.0000,0.0000,0.4742,8.2181,0.000,unity
3.1000,0.00000,1.0000,0.0000,4.50921,4.50925,5.17389,234.8,1.0000,0.4471,0.0000,0.4742,8.3084,0.000,unity
3.1200,0.00000,1.0000,0.0000,4.57448,4.57451,4.61263,525.0,1.0000,1.0000,0.0000,0.4742,8.4000,0.000,unity
3.1400,0.00000,1.0000,0.0000,4.64966,4.64970,5.23703,288.9,1.0000,0.5502,0.0000,0.4742,8.4931,0.000,unity
3.1600,0.00000,1.0000,0.0000,4.71889,4.71893,4.87098,525.0,1.0000,1.0000,0.0000,0.4742,8.5875,0.000,unity
3.1800,0.00000,1.0000,0.0000,4.80014,4.80019,5.29513,353.5,1.0000,0.6734,0.0000,0.4742,8.6836,0.000,unity
3.2000,0.00000,1.0000,0.0000,4.87467,4.87471,5.12825,522.5,1.0000,0.9953,0.0000,0.4742,8.7812,0.000,unity
3.2200,0.00000,1.0000,0.0000,4.96162,4.96167,5.41070,385.7,1.0000,0.7346,0.0000,0.4742,8.8805,0.000,unity
3.2400,0.00000,1.0000,0.0000,5.03769,5.03774,5.35142,480.4,1.0000,0.9151,0.0000,0.4742,8.9813,0.000,unity
3.2600,0.00000,1.0000,0.0000,5.11659,5.11678,6.02151,66.7,1.0000,0.1270,0.0000,0.4748,9.0837,0.000,unity
3.2800,0.00000,1.0000,0.0000,5.26391,5.26407,4.51042,525.0,1.0000,1.0000,0.0000,0.4752,9.1891,0.000,unity
3.3000,0.00000,1.0000,0.0000,5.01414,5.01426,13.85157,0.0,0.0000,0.0000,0.0000,0.4755,9.2892,0.000,unity
3.3200,0.00000,1.0000,0.0000,5.44033,5.44043,4.66370,525.0,1.0000,1.0000,0.0000,0.4757,9.3981,0.000,unity
3.3400,0.00000,1.0000,0.0000,5.04737,5.04744,20.99415,0.0,0.0000,0.0000,0.0000,0.4758,9.4987,0.000,unity
3.3600,0.00000,1.0000,0.0000,5.41512,5.41517,12.66783,0.0,0.0000,0.0000,0.0000,0.4758,9.6070,0.000,unity
3.3800,0.00000,1.0000,0.0000,5.47857,5.47861,1.77688,525.0,1.0000,1.0000,0.0000,0.4758,9.7166,0.000,unity
3.4000,0.00000,1.0000,0.0000,5.16835,5.16837,15.59763,0.0,0.0000,0.0000,0.0000,0.4757,9.8196,0.000,unity
3.4200,0.00000,1.0000,0.0000,5.57742,5.57744,5.38310,525.0,1.0000,1.0000,0.0000,0.4757,9.9312,0.000,unity
3.4400,0.00000,1.0000,0.0000,5.42120,5.42121,9.93201,0.0,0.0680,0.0000,0.0000,0.4756,10.0395,0.000,unity
3.4600,0.00000,1.0000,0.0000,5.91267,5.91270,6.30186,427.6,1.0000,0.8145,0.0000,0.4755,10.1580,0.000,unity
3.4800,0.00000,1.0000,0.0000,5.63906,5.63908,4.99464,525.0,1.0000,1.0000,0.0000,0.4754,10.2707,0.000,unity
3.5000,0.00000,1.0000,0.0000,5.33617,5.33618,19.56635,0.0,0.0000,0.0000,0.0000,0.4753,10.3769,0.000,unity
3.5200,0.00000,1.0000,0.0000,5.68462,5.68463,10.40169,0.0,0.0000,0.0000,0.0000,0.4753,10.4906,0.000,unity
3.5400,0.00000,1.0000,0.0000,5.77226,5.77227,12.20286,0.0,0.0000,0.0000,0.0000,0.4752,10.6060,0.000,unity
3.5600,0.00000,1.0000,0.0000,5.88847,5.88848,2.72538,525.0,1.0000,1.0000,0.0000,0.4751,10.7238,0.000,unity
3.5800,0.00000,1.0000,0.0000,5.51511,5.51512,19.48476,0.0,0.0000,0.0000,0.0000,0.4751,10.8337,0.000,unity
3.6000,0.00000,1.0000,0.0000,5.93668,5.93669,10.12141,0.0,0.0000,0.0000,0.0000,0.4751,10.9526,0.000,unity
3.6200,0.00000,1.0000,0.0000,6.05821,6.05823,5.67101,525.0,1.0000,1.0000,0.0000,0.4750,11.0739,0.000,unity
3.6400,0.00000,1.0000,0.0000,5.78040,5.78041,13.16983,0.0,0.0000,0.0000,0.0000,0.4750,11.1893,0.000,unity
3.6600,0.00000,1.0000,0.0000,5.91306,5.91307,10.65853,0.0,0.0000,0.0000,0.0000,0.4750,11.3075,0.000,unity
3.6800,0.00000,1.0000,0.0000,6.03853,6.03854,7.95317,0.0,1.0000,0.0000,0.0000,0.4750,11.4283,0.000,unity
3.7000,0.00000,1.0000,0.0000,6.11623,6.11625,4.65610,525.0,1.0000,1.0000,0.0000,0.4750,11.5507,0.000,unity
3.7200,0.00000,1.0000,0.0000,5.74794,5.74795,19.26769,0.0,0.0000,0.0000,0.0000,0.4750,11.6653,0.000,unity
3.7400,0.00000,1.0000,0.0000,6.04010,6.04011,9.55286,0.0,0.4471,0.0000,0.0000,0.4750,11.7860,0.000,unity
3.7600,0.00000,1.0000,0.0000,6.16695,6.16696,7.28774,0.0,1.0000,0.0000,0.0000,0.4750,11.9095,0.000,unity
3.7800,0.00000,1.0000,0.0000,6.16847,6.16848,1.57076,525.0,1.0000,1.0000,0.0000,0.4750,12.0329,0.000,unity
3.8000,0.00000,1.0000,0.0000,5.88499,5.88500,13.09891,0.0,0.0000,0.0000,0.0000,0.4750,12.1503,0.000,unity
3.8200,0.00000,1.0000,0.0000,6.38261,6.38262,5.14956,525.0,1.0000,1.0000,0.0000,0.4750,12.2782,0.000,unity
3.8400,0.00000,1.0000,0.0000,6.10899,6.10900,9.79732,0.0,0.2027,0.0000,0.0000,0.4750,12.4002,0.000,unity
3.8600,0.00000,1.0000,0.0000,6.41985,6.41987,6.38576,525.0,1.0000,1.0000,0.0000,0.4750,12.5289,0.000,unity
3.8800,0.00000,1.0000,0.0000,6.00548,6.00549,23.94146,0.0,0.0000,0.0000,0.0000,0.4750,12.6487,0.000,unity
