t,steering,throttle,brake,speed,speed_mag,x,y,z,yaw_deg,source
2.6000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.6200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.6400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.6600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.6800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.7000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.7200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.7400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.7600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.7800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.8000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.8200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.8400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.8600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.8800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.9000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.9200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.9400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.9600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
2.9800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.0000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
